Time,Real Position
85.01783,2.112246 1.3659 -3.735463
177.0291,2.816767 0.9297015 -2.993639
268.0408,4.359696 0.3090898 -1.746497
358.0634,5.653199 -0.2972233 -0.1732364
448.0861,6.756544 -0.6253302 1.696311
538.1069,4.827758 1.6337 -0.1107545
630.128,2.228543 2.815637 -3.046661
719.1393,1.9185 2.823689 -3.35631
806.1509,1.807029 2.802678 -3.47393
895.1657,1.808726 2.807676 -3.466668
984.1852,1.800895 2.454991 -3.119735
1075.199,2.728004 1.398915 -1.725548
1164.212,2.738928 1.756517 -1.999989
1254.231,1.799571 2.005158 -3.540096
1344.242,1.811229 1.693034 -3.523656
1434.254,2.874402 0.4021049 -2.59129
1524.274,3.568586 0.8148226 -2.82641
1611.296,3.290064 1.249119 -4.025085
1702.318,3.267405 1.017262 -3.696934
1788.331,4.005686 3.218651E-06 -2.145133
1881.349,3.32215 1.41515 -2.165377
1973.37,1.839716 2.629162 -3.347112
2058.385,1.793806 2.594905 -3.007685
2147.404,3.14791 2.064698 -1.742651
2239.427,3.471534 1.369723 -1.049264
2329.446,2.771891 1.500649 -2.536636
2419.472,2.007167 1.651934 -4.022498
2510.495,1.69796 1.739684 -4.582913
2600.515,1.893699 1.179104 -3.545456
2691.537,2.920647 1.139851 -2.504312
2782.548,2.713875 2.043671 -3.550077
2869.571,2.145401 1.922 -3.596594
2962.592,1.797985 1.794947 -3.814268
3052.607,2.408617 0.9850211 -2.555843
3140.624,3.240319 0.3702477 -1.152686
3230.638,4.080891 1.26412 -0.349998
3317.661,3.014997 2.942183 -2.402267
3404.679,2.842784 2.867017 -2.311766
3493.7,3.845642 2.149038 -1.330732
3582.721,3.280262 1.402624 -2.68518
3671.735,2.670996 1.187612 -4.090498
3762.756,2.676785 0.7264997 -3.188111
3852.775,2.688882 1.534541 -3.550148
Time,Real Rotation
85.01783,23.28479 265.9096 349.8705
177.0291,358.3895 202.9207 5.725243
268.0408,5.942544 212.5807 4.256077
358.0634,15.44248 221.3675 355.1123
448.0861,350.8661 215.6402 355.1355
538.1069,359.2813 224.3864 356.9638
630.128,2.998097 223.699 359.8814
719.1393,14.64681 221.9103 3.331683
806.1509,14.4921 219.4576 4.014044
895.1657,12.21687 219.0675 4.502871
984.1852,4.305295 205.097 4.901973
1075.199,355.7745 200.7052 6.385498
1164.212,2.584126 212.96 3.74365
1254.231,6.070945 219.1014 2.585255
1344.242,9.656964 211.2836 5.055639
1434.254,358.808 211.4454 2.438088
1524.274,359.7654 209.7793 4.601216
1611.296,17.07427 235.7352 1.021246
1702.318,1.716094 224.6043 0.2356117
1788.331,342.6364 219.0982 352.8807
1881.349,349.1019 227.9175 352.6864
1973.37,3.084258 227.4492 356.0162
2058.385,1.360818 223.2071 1.147821
2147.404,357.0771 198.9581 5.974096
2239.427,4.98676 211.3003 3.182763
2329.446,5.086219 216.9099 3.095682
2419.472,4.110259 217.6746 3.566265
2510.495,3.651251 222.575 2.283677
2600.515,332.0605 198.7131 3.423563
2691.537,336.5941 201.3867 3.76099
2782.548,19.48341 227.2085 1.888881
2869.571,13.00301 227.0508 0.6053626
2962.592,7.549493 220.9885 1.713561
3052.607,347.0406 199.5036 2.88585
3140.624,341.8053 215.4471 0.232615
3230.638,349.2077 209.6358 2.37645
3317.661,4.150829 230.5412 3.372585
3404.679,7.362638 208.8335 5.964556
3493.7,23.06767 207.0266 10.11576
3582.721,18.73646 211.7882 4.700873
3671.735,11.5142 218.1221 4.40787
3762.756,318.0607 206.9366 354.8275
3852.775,3.154201 206.603 4.467857
Time,Real Velocity
85.01783,-0.04015803 0.06871605 -0.1000791
177.0291,0.7045209 -0.4361983 0.7418234
268.0408,1.542929 -0.6206117 1.247142
358.0634,1.293503 -0.6063132 1.573261
448.0861,1.103344 -0.3281069 1.869547
538.1069,-1.928786 2.25903 -1.807065
630.128,-2.599215 1.181937 -2.935906
719.1393,-0.3100435 0.008052349 -0.3096497
806.1509,-0.1114713 -0.02101135 -0.11762
895.1657,0.001697659 0.004998446 0.007261992
984.1852,-0.007830858 -0.352685 0.3469338
1075.199,0.9271091 -1.056076 1.394187
1164.212,0.01092339 0.3576022 -0.2744415
1254.231,-0.939357 0.2486409 -1.540107
1344.242,0.01165819 -0.312124 0.01644015
1434.254,1.063173 -1.290929 0.9323659
1524.274,0.6941843 0.4127178 -0.2351203
1611.296,-0.2785215 0.4342961 -1.198675
1702.318,-0.02265906 -0.2318569 0.3281519
1788.331,0.7382805 -1.017259 1.5518
1881.349,-0.6835356 1.415147 -0.02024317
1973.37,-1.482434 1.214012 -1.181735
2058.385,-0.04591012 -0.03425741 0.339427
2147.404,1.354104 -0.5302074 1.265033
2239.427,0.3236246 -0.6949744 0.693387
2329.446,-0.6996429 0.1309263 -1.487371
2419.472,-0.764724 0.1512846 -1.485862
2510.495,-0.3092077 0.0877502 -0.5604148
2600.515,0.1957395 -0.5605801 1.037457
2691.537,1.026948 -0.03925276 1.041145
2782.548,-0.2067723 0.9038194 -1.045765
2869.571,-0.5684741 -0.1216704 -0.0465169
2962.592,-0.347416 -0.1270535 -0.2176743
3052.607,0.6106321 -0.8099257 1.258425
3140.624,0.8317025 -0.6147733 1.403157
3230.638,0.8405712 0.893872 0.8026884
3317.661,-1.065893 1.678064 -2.052269
3404.679,-0.1722131 -0.07516646 0.09050107
3493.7,1.002858 -0.7179792 0.9810338
3582.721,-0.5653803 -0.7464138 -1.354447
3671.735,-0.6092656 -0.2150117 -1.405318
3762.756,0.00578928 -0.4611126 0.9023874
3852.775,0.01209688 0.8080412 -0.3620377
Time,Real Angular Velocity
85.01783,-17.77847 -56.96423 344.9419
177.0291,335.1047 -62.98889 -344.1452
268.0408,-352.447 9.659958 -1.469166
358.0634,9.49994 8.786835 350.8562
448.0861,335.4236 -5.727295 0.02325439
538.1069,8.415253 8.746185 1.828308
630.128,-356.2832 -0.6874237 2.917572
719.1393,11.64871 -1.788696 -356.5497
806.1509,-0.1547136 -2.452637 0.6823611
895.1657,-2.275224 -0.3901367 0.4888268
984.1852,-7.911579 -13.97052 0.3991027
1075.199,351.4692 -4.3918 1.483525
1164.212,-353.1904 12.25478 -2.641848
1254.231,3.486819 6.141418 -1.158395
1344.242,3.58602 -7.817734 2.470384
1434.254,349.1511 0.1617126 -2.617551
1524.274,0.9573669 -1.666031 2.163128
1611.296,-342.6911 25.95584 -3.57997
1702.318,-15.35818 -11.13087 -0.7856345
1788.331,340.9203 -5.506119 352.6451
1881.349,6.465515 8.819321 -0.1943359
1973.37,-346.0176 -0.4682922 3.329834
2058.385,-1.723441 -4.242142 -354.8684
2147.404,355.7162 -24.24896 4.826274
2239.427,-352.0903 12.34216 -2.791332
2329.446,0.09945917 5.609619 -0.08708167
2419.472,-0.9759607 0.7647247 0.4705834
2510.495,-0.4590075 4.900345 -1.282588
2600.515,328.4093 -23.86186 1.139885
2691.537,4.533569 2.673599 0.3374274
2782.548,-317.1107 25.82185 -1.872109
2869.571,-6.4804 -0.1577301 -1.283518
2962.592,-5.453521 -6.062332 1.108198
3052.607,339.4911 -21.48492 1.172289
3140.624,-5.235229 15.94353 -2.653235
3230.638,7.402374 -5.811279 2.143835
3317.661,-345.0569 20.90541 0.9961348
3404.679,3.211809 -21.7077 2.591971
3493.7,15.70504 -1.806885 4.151206
3582.721,-4.331213 4.761566 -5.414889
3671.735,-7.222261 6.333954 -0.2930026
3762.756,306.5465 -11.18552 350.4196
3852.775,-314.9065 -0.3336792 -350.3596
Time,Simulated Movement
85.01783,-17.77847 -56.96423 344.9419
177.0291,335.1047 -62.98889 -344.1452
268.0408,-352.447 9.659958 -1.469166
358.0634,9.49994 8.786835 350.8562
448.0861,335.4236 -5.727295 0.02325439
538.1069,8.415253 8.746185 1.828308
630.128,-356.2832 -0.6874237 2.917572
719.1393,11.64871 -1.788696 -356.5497
806.1509,-0.1547136 -2.452637 0.6823611
895.1657,-2.275224 -0.3901367 0.4888268
984.1852,-7.911579 -13.97052 0.3991027
1075.199,351.4692 -4.3918 1.483525
1164.212,-353.1904 12.25478 -2.641848
1254.231,3.486819 6.141418 -1.158395
1344.242,3.58602 -7.817734 2.470384
1434.254,349.1511 0.1617126 -2.617551
1524.274,0.9573669 -1.666031 2.163128
1611.296,-342.6911 25.95584 -3.57997
1702.318,-15.35818 -11.13087 -0.7856345
1788.331,340.9203 -5.506119 352.6451
1881.349,6.465515 8.819321 -0.1943359
1973.37,-346.0176 -0.4682922 3.329834
2058.385,-1.723441 -4.242142 -354.8684
2147.404,355.7162 -24.24896 4.826274
2239.427,-352.0903 12.34216 -2.791332
2329.446,0.09945917 5.609619 -0.08708167
2419.472,-0.9759607 0.7647247 0.4705834
2510.495,-0.4590075 4.900345 -1.282588
2600.515,328.4093 -23.86186 1.139885
2691.537,4.533569 2.673599 0.3374274
2782.548,-317.1107 25.82185 -1.872109
2869.571,-6.4804 -0.1577301 -1.283518
2962.592,-5.453521 -6.062332 1.108198
3052.607,339.4911 -21.48492 1.172289
3140.624,-5.235229 15.94353 -2.653235
3230.638,7.402374 -5.811279 2.143835
3317.661,-345.0569 20.90541 0.9961348
3404.679,3.211809 -21.7077 2.591971
3493.7,15.70504 -1.806885 4.151206
3582.721,-4.331213 4.761566 -5.414889
3671.735,-7.222261 6.333954 -0.2930026
3762.756,306.5465 -11.18552 350.4196
3852.775,-314.9065 -0.3336792 -350.3596
Time,Simulated Velocity
85.01783,0 0 0
177.0291,0.5440974 -0.5058774 0.842231
268.0408,1.565788 -0.6067866 1.250327
358.0634,1.329006 -0.5864315 1.567858
448.0861,1.067221 -0.3738329 1.85936
538.1069,-1.958966 2.273418 -1.738708
630.128,-2.597148 1.188092 -2.928519
719.1393,-0.2948568 0.03074884 -0.2893364
806.1509,-0.1184801 -0.0207088 -0.117245
895.1657,0 0 0
984.1852,-0.02818513 -0.3680151 0.3205106
1075.199,0.9070053 -1.070441 1.388886
1164.212,0.03958249 0.36738 -0.2527246
1254.231,-0.9275513 0.2553523 -1.547706
1344.242,0.004674196 -0.3061363 0.01234531
1434.254,1.057225 -1.309907 0.906461
1524.274,0.6869671 0.4145213 -0.2071428
1611.296,-0.2165782 0.4684036 -1.211889
1702.318,-0.05512524 -0.2638988 0.2958302
1788.331,0.717797 -1.042428 1.520763
1881.349,-0.6680801 1.422617 -0.009291887
1973.37,-1.470173 1.235093 -1.161073
2058.385,-0.06300199 -0.03633547 0.3400531
2147.404,1.312979 -0.5368741 1.294374
2239.427,0.354655 -0.6829648 0.7020791
2329.446,-0.6952569 0.1317964 -1.500138
2419.472,-0.7644641 0.1498988 -1.487276
2510.495,-0.3032447 0.08732784 -0.5725665
2600.515,0.1506754 -0.6079546 1.024246
2691.537,1.031495 -0.03301734 1.062784
2782.548,-0.136795 0.9786616 -1.026949
2869.571,-0.5750873 -0.1371187 -0.05872536
2962.592,-0.359396 -0.1388531 -0.2138634
3052.607,0.5638463 -0.8420936 1.246147
3140.624,0.845804 -0.6230504 1.387805
3230.638,0.8262055 0.9061711 0.8276684
3317.661,-1.033575 1.703217 -2.047641
3404.679,-0.1828225 -0.07096982 0.1126955
3493.7,0.9986084 -0.6796979 1.006588
3582.721,-0.5439882 -0.7598032 -1.363719
3671.735,-0.6104369 -0.2323545 -1.418302
3762.756,-0.03146863 -0.5353246 0.788172
3852.775,0.01966453 0.8675226 -0.2689788
Time,Left Controller Position
85.01783,-17.77847 -56.96423 344.9419
177.0291,335.1047 -62.98889 -344.1452
268.0408,-352.447 9.659958 -1.469166
358.0634,9.49994 8.786835 350.8562
448.0861,335.4236 -5.727295 0.02325439
538.1069,8.415253 8.746185 1.828308
630.128,-356.2832 -0.6874237 2.917572
719.1393,11.64871 -1.788696 -356.5497
806.1509,-0.1547136 -2.452637 0.6823611
895.1657,-2.275224 -0.3901367 0.4888268
984.1852,-7.911579 -13.97052 0.3991027
1075.199,351.4692 -4.3918 1.483525
1164.212,-353.1904 12.25478 -2.641848
1254.231,3.486819 6.141418 -1.158395
1344.242,3.58602 -7.817734 2.470384
1434.254,349.1511 0.1617126 -2.617551
1524.274,0.9573669 -1.666031 2.163128
1611.296,-342.6911 25.95584 -3.57997
1702.318,-15.35818 -11.13087 -0.7856345
1788.331,340.9203 -5.506119 352.6451
1881.349,6.465515 8.819321 -0.1943359
1973.37,-346.0176 -0.4682922 3.329834
2058.385,-1.723441 -4.242142 -354.8684
2147.404,355.7162 -24.24896 4.826274
2239.427,-352.0903 12.34216 -2.791332
2329.446,0.09945917 5.609619 -0.08708167
2419.472,-0.9759607 0.7647247 0.4705834
2510.495,-0.4590075 4.900345 -1.282588
2600.515,328.4093 -23.86186 1.139885
2691.537,4.533569 2.673599 0.3374274
2782.548,-317.1107 25.82185 -1.872109
2869.571,-6.4804 -0.1577301 -1.283518
2962.592,-5.453521 -6.062332 1.108198
3052.607,339.4911 -21.48492 1.172289
3140.624,-5.235229 15.94353 -2.653235
3230.638,7.402374 -5.811279 2.143835
3317.661,-345.0569 20.90541 0.9961348
3404.679,3.211809 -21.7077 2.591971
3493.7,15.70504 -1.806885 4.151206
3582.721,-4.331213 4.761566 -5.414889
3671.735,-7.222261 6.333954 -0.2930026
3762.756,306.5465 -11.18552 350.4196
3852.775,-314.9065 -0.3336792 -350.3596
Time,Left Controller Rotation
85.01783,315.6427 275.9042 21.32314
177.0291,291.486 258.0061 334.7219
268.0408,294.287 251.7167 340.2934
358.0634,294.2038 227.7279 354.4745
448.0861,302.6058 255.3778 342.9587
538.1069,303.2658 338.8352 321.1895
630.128,300.088 337.0677 323.618
719.1393,303.3743 228.1178 31.58448
806.1509,293.6277 240.3932 22.80195
895.1657,289.9836 247.5345 14.52494
984.1852,278.9199 227.0201 352.8243
1075.199,282.9912 229.7876 350.913
1164.212,303.2652 330.3137 321.8737
1254.231,305.3034 329.8868 321.1393
1344.242,291.4724 317.9195 266.5748
1434.254,290.9438 293.0717 293.5246
1524.274,320.1374 331.6406 333.4517
1611.296,316.5599 331.966 336.7359
1702.318,277.3398 246.4815 355.1889
1788.331,286.5529 246.8709 357.0963
1881.349,312.9167 334.2358 327.2484
1973.37,314.0919 336.5735 325.2153
2058.385,288.0941 288.2925 335.5573
2147.404,296.6391 230.4724 23.00267
2239.427,290.0066 284.4071 29.91971
2329.446,289.3179 269.172 63.41146
2419.472,289.3433 268.0178 65.04561
2510.495,284.779 277.9054 49.47627
2600.515,310.4026 184.9798 75.90555
2691.537,307.8937 300.393 354.5237
2782.548,310.2324 335.6393 343.9247
2869.571,301.0717 347.3394 334.0899
2962.592,276.9181 356.4118 292.1586
3052.607,288.0702 218.0626 21.30731
3140.624,291.3548 225.6861 14.97341
3230.638,314.1943 315.56 326.9698
3317.661,300.14 300.2401 11.27897
3404.679,283.9585 121.4632 122.2385
3493.7,281.4786 179.0923 59.59878
3582.721,290.4303 334.2372 349.2974
3671.735,283.9439 338.6913 339.9255
3762.756,283.7466 241.6181 355.4122
3852.775,316.9463 336.0154 322.3354
Time,Left Controller Velocity
85.01783,0.1086231 0.1902266 0.5360093
177.0291,0.4702786 -0.3322881 0.601449
268.0408,1.56444 -0.6365959 1.225797
358.0634,1.404402 -0.6068316 1.469026
448.0861,1.080746 -0.440884 1.928825
538.1069,-1.771552 2.263179 -1.446507
630.128,-2.600667 1.189454 -2.93465
719.1393,-0.3765169 0.03554773 -0.4159818
806.1509,-0.107275 -0.01170206 -0.08474541
895.1657,0.003625035 0.001712561 0.01363039
984.1852,-0.07033515 -0.2608342 0.1056514
1075.199,0.8980892 -1.09016 1.353261
1164.212,0.1021168 0.2492424 0.04359841
1254.231,-0.9363816 0.2428669 -1.531498
1344.242,-0.08043945 -0.134717 -0.1759696
1434.254,1.02861 -1.347501 0.852757
1524.274,0.753792 0.204488 0.0575099
1611.296,-0.2038872 0.4821666 -1.202067
1702.318,-0.09486532 -0.02527964 0.005839825
1788.331,0.6971552 -1.087457 1.485498
1881.349,-0.6280448 1.302902 0.2685018
1973.37,-1.469126 1.229814 -1.144086
2058.385,-0.09957862 0.0634737 0.1680636
2147.404,1.263188 -0.555691 1.216102
2239.427,0.459166 -0.6672728 0.9518697
2329.446,-0.6842084 0.1019307 -1.439157
2419.472,-0.7639267 0.147095 -1.487661
2510.495,-0.2922722 0.09257996 -0.567502
2600.515,0.1026707 -0.5971897 0.6879134
2691.537,1.001835 -0.1754861 1.267441
2782.548,-0.05907083 0.9901555 -0.9234803
2869.571,-0.5404661 -0.07766843 -0.09000301
2962.592,-0.3359545 -0.06134367 -0.3785529
3052.607,0.4692909 -0.8735932 1.134245
3140.624,0.8369634 -0.6431955 1.383539
3230.638,0.827337 0.822693 1.090291
3317.661,-1.009833 1.703387 -2.018916
3404.679,-0.1308029 0.08156776 -0.1100209
3493.7,0.9180968 -0.7132983 0.9831944
3582.721,-0.4890101 -0.7591009 -0.9914274
3671.735,-0.5960774 -0.2154641 -1.451384
3762.756,-0.1118829 -0.5350728 0.4353533
3852.775,0.09836602 0.7392983 -0.007585526
Time,Left Controller Angular Velocity
85.01783,315.6427 275.9042 21.32314
177.0291,-24.15674 -17.89807 313.3988
268.0408,2.801025 -6.289413 5.571472
358.0634,-0.08322144 -23.98883 14.18109
448.0861,8.401978 27.64995 -11.51575
538.1069,0.6600647 83.4574 -21.76929
630.128,-3.177795 -1.767487 2.428558
719.1393,3.286224 -108.95 -292.0335
806.1509,-9.746521 12.27547 -8.782526
895.1657,-3.644165 7.141296 -8.277008
984.1852,-11.06366 -20.51439 338.2993
1075.199,4.071259 2.767456 -1.911255
1164.212,20.27402 100.5261 -29.03937
1254.231,2.038177 -0.4268799 -0.734314
1344.242,-13.83102 -11.96735 -54.56458
1434.254,-0.5285645 -24.84784 26.94986
1524.274,29.1936 38.56891 39.92703
1611.296,-3.577454 0.32547 3.284271
1702.318,-39.22009 -85.48453 18.453
1788.331,9.213043 0.3894043 1.907379
1881.349,26.3638 87.36487 -29.8479
1973.37,1.175232 2.337738 -2.033112
2058.385,-25.9978 -48.28098 10.34198
2147.404,8.544983 -57.8201 -312.5546
2239.427,-6.632507 53.93469 6.917038
2329.446,-0.6886902 -15.23514 33.49175
2419.472,0.02536011 -1.154236 1.634144
2510.495,-4.56427 9.887634 -15.56934
2600.515,25.6236 -92.92561 26.42928
2691.537,-2.50885 115.4132 278.6182
2782.548,2.338684 35.24625 -10.59903
2869.571,-9.160767 11.70013 -9.834808
2962.592,-24.15356 9.072418 -41.93127
3052.607,11.15213 -138.3492 -270.8513
3140.624,3.284576 7.623505 -6.333896
